Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
M,298.1,308.6,1551,42.8,0,0
L,298.2,308.7,1408,46.3,3,0
L,298.1,308.5,1498,49.4,5,0
L,298.2,308.6,1433,39.5,7,0
L,298.2,308.7,1408,40,9,0
M,298.1,308.6,1425,41.9,11,0
L,298.1,308.6,1558,42.4,14,0
L,298.1,308.6,1527,40.2,16,0
M,298.3,308.7,1667,28.6,18,0
M,298.5,309,1741,28,21,0
H,298.4,308.9,1782,23.9,24,0
H,298.6,309.1,1423,44.3,29,0
M,298.6,309.1,1339,51.1,34,0
M,298.6,309.2,1742,30,37,0
L,298.6,309.2,2035,19.6,40,0
L,298.6,309.2,1542,48.4,42,0
M,298.6,309.2,1311,46.6,44,0
M,298.7,309.2,1410,45.6,47,0
H,298.8,309.2,1306,54.5,50,0
M,298.9,309.3,1632,32.5,55,0
H,298.9,309.3,1375,42.7,58,0
L,298.8,309.3,1450,44.8,63,0
M,298.9,309.3,1581,30.7,65,0
L,299,309.4,1758,25.7,68,0
M,299,309.4,1561,37.3,70,0
L,299,309.5,1861,23.3,73,0
L,299.1,309.5,1512,39,75,0
H,299.1,309.4,1811,24.6,77,0
L,299.1,309.4,1439,44.2,82,0
L,299,309.4,1693,30.1,84,0
M,299.1,309.5,1339,48.2,86,0
L,299,309.4,1798,25.5,89,0
L,299,309.4,1419,48.3,91,0
L,298.9,309.3,1665,32.5,93,0
M,298.8,309.1,1559,34.7,95,0
M,298.8,309.2,1452,48.6,98,0
M,298.9,309.2,1581,36.7,101,0
L,298.8,309.1,1439,39.2,104,0
H,298.9,309.2,1379,50.7,106,0
L,298.8,309.1,1350,52.5,111,0
L,298.8,309.1,1362,45.4,113,0
L,298.8,309.1,1368,50.8,115,0
M,298.8,309.1,1368,49.1,117,0
H,298.8,309.2,1372,48.5,120,0
M,298.8,309.1,1472,47.5,125,0
L,298.8,309.1,1489,49.1,128,0
M,298.7,309,1843,25.8,130,0
L,298.8,309.1,1418,46.3,133,0
H,298.8,309.2,1425,53.9,135,0
M,298.9,309.2,1412,44.1,140,0
L,298.9,309.1,2861,4.6,143,1
L,298.9,309.1,1383,54.9,145,0
H,298.8,309,1497,43.8,147,0
L,298.7,309,1565,35.1,152,0
L,298.7,309,1691,30.1,154,0
L,298.8,309.1,1512,40.7,156,0
L,298.8,309.1,1477,42.4,158,0
L,298.8,309.1,1513,40.3,160,0
M,298.8,309,1661,29.5,162,0
L,298.8,309.1,1378,54.4,165,0
L,298.8,309.1,1393,52.6,167,0
M,298.8,309,1592,38.2,169,0
L,298.8,309,1829,22.9,172,0
M,298.9,309,1812,25.9,174,0
L,299,309.1,1523,38.6,177,0
L,299,309.1,1394,45.1,179,0
M,298.9,308.9,1679,28.7,181,0
H,298.8,308.9,1466,44.1,184,0
L,298.8,308.9,1527,32.4,189,0
L,298.9,309,1410,65.7,191,1
M,298.9,309,1924,22.6,193,0
L,298.9,309.1,1452,45.5,196,0
L,298.9,309.1,1369,44.4,198,0
L,299,309.1,1592,35,200,0
L,298.9,309,1601,32.3,202,0
L,298.8,308.9,1379,46.7,204,0
L,298.8,308.9,1461,47.9,206,0
L,298.8,308.9,1455,41.3,208,1
L,298.8,308.9,1398,51.5,0,0
L,298.8,308.9,1402,37.9,2,0
H,298.8,308.8,1445,49.9,4,0
L,298.9,308.9,1450,47.5,9,0
L,298.9,308.9,1453,40.8,11,0
L,299,309,1469,40.1,13,0
L,298.9,308.9,1422,47.6,15,0
M,299,309,1804,26.8,17,0
H,299,309,1436,43.9,20,0
L,299,309,1544,31.8,25,0
M,299,309,1419,45.2,27,0
M,298.9,308.9,1487,39.5,30,0
L,298.9,308.9,1753,25.8,33,0
L,298.9,308.9,1830,24.9,35,0
